complaint_type,descriptor,count
DOF Parking - Payment Issue,Applied to Wrong Ticket,3946
DOF Property - Payment Issue,Refund/Credit Info or Status,3941
Sewer,Other Sewer Problem (Use Comments) (SZZ),3869
Dirty Conditions,E1A Litter Basket / Improper Use,3827
Illegal Tree Damage,Bicycle Chained to Tree,3826
Obstruction,Merchandise,3823
DOF Parking - Payment Issue,Card - DOF Confirmation Number Issued,3819
Bus Stop Shelter Complaint,Lighting,3815
Home Delivered Meal - Missed Delivery,N/A,3799
Sidewalk Condition,Sidewalk Grating - Defective,3769
Violation of Park Rules,Smoking,3768
Food Establishment,No Permit or License,3763
Consumer Complaint,Cigarette Sale to Minor,3737
Street Condition,Plate Condition - Open,3715
Graffiti,Police Report Requested,3690
DOF Property - Owner Issue,Condo Billing Issue,3659
Mass Gathering Complaint,Mass Gathering,3652
Construction,Re-Inspect - Rslve Objections,3629
Consumer Complaint,Garage/Parking Lot,3619
Indoor Sewage,Sewage Leak,3601
General Construction/Plumbing,Illegal Conversion Of Commercial Bldg/Space To Other Uses,3600
Water System,Defective Street Cut (WZZ1),3555
Investigations and Discipline (IAD),Investigative Inspection,3550
Noise,"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",3547
DOF Parking - Request Copy,Image of Ticket,3535
PAINT - PLASTER,RADIATOR,3533
General Construction/Plumbing,Safety Netting/Guard Rails - Damaged/Inadequate/None (6 Stories/75 Feet Or Less),3522
Animal Abuse,Chained,3512
Literature Request,BULK FLYER/SPECIAL WASTE,3503
Sewer,Manhole Sunken/Damaged/Raised (SB1),3470
Consumer Complaint,Cars Parked on Sidewalk/Street,3463
Cranes and Derricks,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,3460
Snow or Ice,Roadway,3453
Traffic Signal Condition,Controller Cabinet,3451
Traffic Signal Condition,Ped Flasher,3421
Literature Request,DOG OWNER FLYER,3411
Indoor Air Quality,Sewage Odor,3388
Sidewalk Condition,Curb Painted,3382
Dead Animal,Raccoon,3378
Highway Condition,Dead Animal,3366
Food Establishment,Food Temperature,3365
Noise,Noise: Manufacturing Noise (NK1),3363
General Construction/Plumbing,Facade - Defective/Cracking (Ll11/98),3362
Sidewalk Condition,Metal Protruding - Sign Stump,3354
Litter Basket Request,Replacement Basket,3329
Food Establishment,Toilet Facility,3324
Street Light Condition,New Con Ed Service Request,3308
Consumer Complaint,Car Dealer - Used,3279
Scaffold Safety,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,3214
Street Light Condition,Glassware Hanging,3211
Street Sign - Dangling,Street Cleaning - ASP,3203
Highway Condition,Cave-in,3198
Water Quality,"Taste/Odor, Musty/Stale (QA4)",3196
Noise - Helicopter,NYPD,3181
Consumer Complaint,Other,3165
Violation of Park Rules,Unsafe Use of Playground,3157
Literature Request,APARTMENT BLDG. RECYCLING INITIATIVE BROCH.,3155
HPD Literature Request,Housing Information Guide For Tenants and Owners Notice,3143
General Construction/Plumbing,Failure to Comply with Vacate Order,3142
Sewer,Highway Flooding (SH),3141
PAINT - PLASTER,DOORS/FRAME,3129
Senior Center Complaint,N/A,3113
Street Light Condition,Foreign Attachment On Lamppost,3106
Sidewalk Condition,Newspaper Box Complaint,3096
Air Quality,"Air: Smoke, Residential (AA1)",3083
Litter Basket Complaint,Overflowing,3082
Street Sign - Damaged,Bus Stop,3055
Literature Request,RECYCLING CHINESE CKECKLIST,3024
School Maintenance,Rodents/Mice,3018
Building Marshals office,Unlicensed/Illegal/Improper Work In Progress,3006
Storm,2S Bulk-Storm Related,3005
Missed Collection (All Materials),1C Uncollected Xmas Trees,3000
Consumer Complaint,Illegal Tow,2952
Public Payphone Complaint,Damaged Telephone,2948
School Maintenance,Air Conditioning Problem,2927
Consumer Complaint,Home Improvement Contractor,2926
DOF Property - RPIE Issue,Filing and Technical Issues,2922
Construction Safety Enforcement,CSC - Monitoring Tracking,2916
DCA / DOH New License Application Request,Home Improvement Contractor License,2908
Traffic Signal Condition,Temporary,2902
GENERAL CONSTRUCTION,FIRE-ESCAPE,2896
HPD Literature Request,Mitchell-Lama Housing List,2896
Animal-Abuse,No Shelter,2895
Noise,"Noise, Other Animals (NR6)",2894
Traffic/Illegal Parking,Posted Parking Sign Violation,2890
Dead Animal,Rat or Mouse,2888
Emergency Response Team (ERT),Lights From Parking Lot Shining On Building,2876
Street Sign - Missing,Bus Stop,2865
Food Establishment,Odor,2862
Mobile Food Vendor,Food Source/Protection,2862
DHS Advantage - Tenant,Lease Already Expired,2847
Water Conservation,"Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)",2838
Noise - House of Worship,Loud Talking,2827
Investigations and Discipline (IAD),Electrical - Unlicensed/Illegal/Improper Work In Progress,2802
Sanitation Worker or Vehicle Complaint,Spilled Garbage,2791
Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,2786
Literature Request,"RECYCLE MORE,WASTELESS BOOKMARKS",2767
Highway Condition,Painted Line/Marking,2751
Snow Removal,Not Plowed,2746
Mobile Food Vendor,Food Worker Activity,2705
Bus Stop Shelter Complaint,Snow Removal Requested,2704
Consumer Complaint,Door Open with Air Conditioning On,2701
Home Repair,House,2685
Plant,Plants- Odor Related Problems (PO1),2677
Construction Safety Enforcement,CSE - Sweep,2674
Consumer Complaint,Car Wash,2668
Food Establishment,Food Protection,2665
Street Light Condition,Fixture/Luminaire Missing,2664
Street Condition,Unsafe Worksite,2656
Industrial Waste,Concrete In Catch Basin (IEA),2648
Hazardous Materials,"Unsafe Chemical, Abandoned (HC2)",2634
Sweeping/Inadequate,3B Sweeping/Inadequate,2627
Alzheimer's Care,N/A,2611
Maintenance or Facility,Broken Glass,2608
SAFETY,SPRINKLER,2606
Benefit Card Replacement,Cash Assistance,2595
Street Light Condition,Flood Light Lamp Cycling,2593
Elevator,Elevator Not Inspected/Illegal/No Permit,2593
Unsanitary Animal Pvt Property,Other Animal,2592
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,2562
Special Projects Inspection Team (SPIT),Adult Establishment,2552
School Maintenance,Heating Problem,2543
Consumer Complaint,Restaurant,2535
Adopt-A-Basket,Adopt-A-Basket,2523
Noise - Helicopter,News Gathering,2521
Street Sign - Dangling,St Name - Over Intersection,2520
Sanitation Worker or Vehicle Complaint,Inappropriate Behavior,2520
Noise,"Noise: Boat(Engine,Music,Etc) (NR10)",2513
Industrial Waste,Grease In Sewer/Catch Basin (IDG),2508
Plumbing,Sprinkler System - Inadequate,2497
Dirty Conditions,E13 Throw-Out,2469
Taxi Report,Driver Report - Passenger,2468
Emergency Response Team (ERT),M.A.R.C.H. Program (Interagency),2464
Special Projects Inspection Team (SPIT),Privately Owned Public Space/Non-Compliance,2462
DOF Property - Payment Issue,Payment Not Posted,2448
Bridge Condition,Pothole,2446
Bus Stop Shelter Complaint,Dirty/Graffiti,2445
Posting Advertisement,Vehicle,2433
DOF Parking - Payment Issue,Card - Charged Twice,2429
HPD Literature Request,The ABCs of Housing - Spanish,2427
Illegal Tree Damage,Unauthorized Tree Pruning,2420
DCA / DOH New License Application Request,Seasonal Mobile Food Vendor License,2415
Water Quality,unknown odor/taste in drinking water (QA6),2414
DOF Parking - Payment Issue,Settlement Reduction Not Shown,2400
City Vehicle Placard Complaint,N/A,2383
Special Projects Inspection Team (SPIT),Contrary To LL 58/87(Handicapped Access),2381
Outdoor Dining,Barrier Condition,2369
Animal in a Park,Domestic Strays,2356
Street Light Condition,Multiple St Lts Dayburning,2349
Traffic/Illegal Parking,Commercial Overnight Parking,2338
Dirty Condition,Broken Glass,2333
SCRIE,Update Tenant Information,2329
Consumer Complaint,Installation/Work Quality,2311
Lost Property,Clothing/Glasses,2310
Consumer Complaint,Furniture Store,2276
Illegal Animal Kept as Pet,Rooster,2272
Collection Truck Noise,21 Collection Truck Noise,2264
Drinking Water,Illness Caused by Drinking Water,2252
Commercial Disposal Complaint,No Private Carter,2247
Animal in a Park,Wildlife Sighting,2223
Window Guard,Inside Apartment,2218
CONSTRUCTION,ROOF,2215
Dirty Condition,Dirt or Gravel,2212
Hazardous Materials,"Oil Spill On Street, Small (HQS)",2212
GENERAL,MOLD,2204
Drinking,After Hours - Licensed Est,2186
General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,2180
Water Quality,Cloudy Or Milky Water (QB1),2170
Facades,Facade (LL11/98)- Unsafe Notification,2162
GENERAL,FLOOR,2159
Commercial Disposal Complaint,Private Carter Decal Not Posted,2146
PLUMBING,BOILER,2145
Consumer Complaint,Sidewalk Cafe,2130
Dumpster Complaint,Overflowing,2126
DOF Property - Reduction Issue,Personal Other Exemption,2123
Elevator,Elevator - Dangerous Condition/Shaft Open/Unguarded,2110
Private or Charter School Reopening,N/A,2101
DHS Advantage - Tenant,Court Date Within 7 Days,2099
Dead Animal,Opossum,2085
Noise,Noise: Other Noise Sources (Use Comments) (NZZ),2081
Food Establishment,Permit/License/Certificate,2080
Outdoor Dining,Street Zone Blocked,2067
SCRIE,TAC Report,2061
Traffic/Illegal Parking,Blocked Hydrant,2056
Animal in a Park,Animal Waste,2049
Other Enforcement,ECR Commercial Routing Sticker,2037
Day Care,Other,2036
DOF Property - Property Value,Property Value Dispute,2010
Street Condition,Dumpster - Construction Waste,2007
Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",2007
OUTSIDE BUILDING,PAVEMENT,2006
Street Sign - Dangling,One Way,2002
Traffic Signal Condition,On Messenger,1998
Animal in a Park,Removing Wildlife,1993
HPD Literature Request,Tenant and Landlord Disputes Brochure - Spanish,1992
DOF Parking - DMV Clearance,Registration Clearance Request,1991
Request Xmas Tree Collection,C1 Request Xmas Trees Collection,1986
Food Establishment,Food Preparation Location,1953
Consumer Complaint,Stoop Line,1937
Traffic Signal Condition,Junction Box,1936
Poison Ivy,N/A,1927
OEM Disabled Vehicle,Snow Emergency,1916
Water Quality,"Taste/Odor, Chemical (QA2)",1897
Residential Disposal Complaint,Trash Not Separated from Recycling,1886
DOF Parking - Request Status,Status of Appeal,1883
Traffic/Illegal Parking,Blocked Sidewalk,1871
Water System,Hyd Valve Box Cover Missing (WV2),1856
Bike Rack Condition,Bike Rack Repair,1849
Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),1848
Consumer Complaint,Harassment,1847
Uprooted Stump,Remove Stump,1841
Hazardous Materials,"Unsafe Chemical, Storage (HC1)",1837
Dumpster Complaint,Blocking Sidewalk or Street,1831
HPD Literature Request,HomeFirst Down Payment Information,1810
Standing Water,Container - Over 5 Gallons,1800
Face Covering Violation,Mandate Not Enforced,1799
Consumer Complaint,Receipt Incomplete/Not Given,1794
Water Leak,Heavy Flow,1786
Street Condition,Crash Cushion Defect,1768
Industrial Waste,Oil Spill Into Basin/Sewer - Large (IABL),1765
Traffic Signal Condition,Mast Arm,1761
Wood Pile Remaining,Remove Debris,1760
DOF Property - Payment Issue,Electronic Fund Transfer (EFT) Problem,1748
Literature Request,RECYCLING BUMPER STICKER,1748
GENERAL,WINDOWS,1739
DOF Property - Payment Issue,Amount Owed Dispute,1738
Animal-Abuse,Chained,1714
OEM Literature Request,Ready NY - English - Full Size,1708
Consumer Complaint,Price Not Posted,1704
Ferry Complaint,General Complaint,1698
Recycling Enforcement,ER2 Resident Recyc. (Tenant),1689
HEAP Assistance,N/A,1687
Housing Options,Nursing Home,1684
Dirty Condition,Syringes,1668
Consumer Complaint,Laundry,1659
New Tree Request,For Whole Block,1653
Street Sign - Damaged,Do Not Enter,1643
Literature Request,SAFEGUARD YOUR HOME/HARMFUL PRODUCTS,1628
DCA / DOH New License Application Request,Food Service Establishment License,1621
Noise,Horn Honking Sign Requested (NR9),1601
Dead Animal,Other,1596
OEM Literature Request,Hurricane Preparedness - English,1592
DOF Property - Owner Issue,ACRIS Incorrect,1577
Public Payphone Complaint,Lost Coin,1574
Dead Animal,Squirrel,1573
Traffic Signal Condition,APS,1571
OUTSIDE BUILDING,ROOF DOOR/HATCH,1554
Water Quality,"Taste/Odor, Chlorine (QA1)",1550
Sewer Maintenance,Backup,1550
Special Projects Inspection Team (SPIT),Sign - In Danger Of Falling,1548
Food Establishment,Handwashing,1544
Traffic Signal Condition,Enclosure Cap,1540
DOF Property - Payment Issue,Apply Payment or Credit,1538
Mobile Food Vendor,Placement,1534
Industrial Waste,Chemical Spill (IAC),1531
Found Property,Electronics/Phones,1529
Consumer Complaint,Debt Not Owed,1523
DOF Property - Reduction Issue,Commercial ICIP or ICAP Exemption,1515
Bus Stop Shelter Complaint,Damaged Other,1511
For Hire Vehicle Report,Driver Report,1510
Water Quality,"Taste/Odor, Sewer (QA5)",1502
Quality of Life,Illegal Conversion No Access Follow - UP,1495
Consumer Complaint,Other Store (Non-Food),1492
General Construction/Plumbing,Landmark Bldg - Illegal Work,1486
Broken Parking Meter,Credit Card Stuck in Meter,1483
Noise - House of Worship,Banging/Pounding,1469
Dead Animal,Bird,1458
Water Conservation,"Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Other (CWO)",1446
Homeless Person Assistance,Non-Chronic,1441
DOF Property - Reduction Issue,Commercial 421A Exemption,1431
Street Sign - Dangling,Bus Stop,1428
Consumer Complaint,Electronics Store,1427
GENERAL,DOORS,1425
Sidewalk Condition,Cellar Door Open/Unprotected,1421
Street Condition,Guard Rail - Street,1419
Consumer Complaint,Gas Station,1401
Obstruction,Sign,1389
DOF Parking - Request Copy,List of Outstanding Tickets,1389
Construction Safety Enforcement,Best - DM Tracking Complaint,1382
Animal Abuse,In Car,1381
Street Sign - Damaged,School Crossing,1380
Commercial Disposal Complaint,Waste Left in Front of Residence,1379
Water Quality,"No Sampling Required, Requested Information (QG2)",1362
Broken Muni Meter,Parking Card Stuck in Meter,1360
Literature Request,ILLEGAL DUMPING AFFIDAVIT,1348
Construction Lead Dust,Common Areas and Apartment,1346
Traffic/Illegal Parking,Double Parked Blocking Vehicle,1338
Literature Request,"NYC COMPOST-URBAN GUIDE GUIDE",1337
Found Property,Bag/Wallet,1325
Sidewalk Condition,Unsafe Worksite,1325
Street Sign - Missing,One Way,1322
Food Establishment,Dishwashing/Utensils,1319
Street Condition,Hummock,1315
Literature Request,ILLEGAL DUMPING TIPS FORM,1309
Consumer Complaint,Over Capacity,1305
Utility Program,N/A,1301
Industrial Waste,Natural Gas In Sewer/Catch Basin (IFB),1289
Executive Inspections,Enforcement Work Order (DOB),1287
Sanitation Condition,15R Street Cond/Ref.W Door,1281
Highway Condition,High Grass,1280
DCA / DOH New License Application Request,Full Term Mobile Food Unit Permit,1277
DHS Advantage - Tenant,Landlord Requesting Additonal Rent,1271
CONSTRUCTION,ELEVATOR,1270
Unsanitary Condition,Mold,1257
Heat/Hot Water,Entire Building,1254
Construction Safety Enforcement,Construction Safety Compliance Action,1231
Beach/Pool/Sauna Complaint,Beach/Pool Water,1229
Paint/Plaster,Ceiling,1224
Highway Condition,Loose Plate,1217
Construction Lead Dust,Coming into Apartment,1209
Consumer Complaint,"Bodega, Deli, or Convenience Store",1192
Literature Request,COLLECTION BIN REPORT FORM,1192
For Hire Vehicle Report,Car Service Company Report,1190
Sanitation Worker or Vehicle Complaint,Noise,1189
DOF Property - City Rebate,City Rebate,1187
Food Establishment,Facility Construction,1178
Consumer Complaint,Demand for Cash,1173
General,,1163
Weatherization,N/A,1157
DHS Advantage -Landlord/Broker,Payment Not Received from Tenant,1144
DCA / DOH New License Application Request,Street Fair Vendor License,1133
Maintenance or Facility,Recreation Center,1131
Investigations and Discipline (IAD),Complaince Inspection,1130
Noise - Commercial,Loud Television,1128
Literature Request,RESIDENT CLEAN COMM. FLYER,1124
Traffic/Illegal Parking,Double Parked Blocking Traffic,1124
Violation of Park Rules,Biking/Rollerblading off Path,1113
DPR Internal,Property,1110
DOF Property - Owner Issue,Property Address Incorrect,1100
CONSTRUCTION,PAVEMENT,1097
Dirty Condition,Debris from Car Accident,1088
Street Sign - Dangling,Speed Limit,1081
Dead Animal,Dog,1075
Food Establishment,Food Worker Activity,1071
Vaccine Mandate Non-Compliance,Employee Proof of Vaccination Not Checked,1068
Sidewalk Condition,Blocked - ATM,1066
Bridge Condition,"Dirt, Debris, Litter Complaint",1063
Illegal Animal Kept as Pet,Other,1061
Consumer Complaint,Cell Phone Store,1057
Sewer,Sewer Break (SBR),1052
Construction,Re-Inspect - No Show,1052
Consumer Complaint,Clothing Damage,1040
General Construction/Plumbing,Structural Stability Impacted - New Building Under Construction,1038
Posting Advertisement,Building,1034
Standing Water,Puddle on Sidewalk,1034
Animal Facility - No Permit,N/A,1032
Ferry Complaint,Delays,1032
Miscellaneous Categories,FDNY Referral - Pilot,1028
Special Natural Area District (SNAD),Illegal Tree Removal/Topo. Change in SNAD,1017
Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",1014
Mobile Food Vendor,Smoke/Odor,1011
Traffic Signal Condition,Push Button,1008
School Maintenance,Snow/Ice,1005
Traffic Signal Condition,Wireless,992
Water Leak,Slow Leak,992
Consumer Complaint,Closed without Notice,981
DRIE,Application Renewal,975
Consumer Complaint,Tobacco Sales,974
Standing Water,Sewer or Drain,974
Consumer Complaint,Supermarket or Grocery Store,974
Snow,5 Un-Plowed/Spread Street,974
Air Quality,"Air: Odor, Nail Salon (AD8)",970
Construction,Re-Inspect - Unprepared,969
Standing Water,Puddle on Roof,967
Taxi Report,Vehicle Report,963
Mobile Food Vendor,Equipment,960
Industrial Waste,Oil Spill Into Basin/Sewer - Small (IABS),960
Traffic Signal Condition,Veh Signal Sec Door,955
Literature Request,PROF. FEE FOR SERVICE FLYER,953
Residential Disposal Complaint,Mattress or Box Spring Uncovered,951
Traffic/Illegal Parking,Congestion/Gridlock,947
OUTSIDE BUILDING,PORCH/BALCONY,942
Literature Request,CITY AGENCY RECYCLING FLYER,925
DOOR/WINDOW,DOOR TO DUMBWAITER,919
Highway Condition,Unsafe Worksite,916
Literature Request,INDOOR COMPOSTING WITH A WORM BIN,913
Construction Lead Dust,In Common Areas,913
Special Projects Inspection Team (SPIT),Illegal Conversion Of Manufacturing/Industrial Space,909
Bus Stop Shelter Complaint,Sign Missing or Defective,904
Standing Water,Swimming Pool Cover,904
OUTSIDE BUILDING,GUTTER/LEADER,900
Home Delivered Meal Complaint,N/A,897
Recycling Enforcement,ER6 Comm. Recyc. (Comm. Tenant),891
Consumer Complaint,Scale Inaccurate/Broken,890
Public Payphone Complaint,Graffiti/Litter on Phone,886
Consumer Complaint,Paid in Advance,885
Sewer,Plate Noisy/Sunken/Raised (SB5),875
Sidewalk Condition,Sidewalk Staircase,872
Street Sign - Dangling,School Crossing,865
Literature Request,ADOPT-A-BASKET FLYER,863
For Hire Vehicle Complaint,Insurance Information Requested,861
Paint/Plaster,Wall,852
Sanitation Condition,15N Needle/Syringe on Street/Sidewalk,846
Construction,Initial - BPP,846
Water Conservation,Water Meter Stolen/Missing - Private Residence (CLR),842
Water Conservation,Rooftank Leak Or Overflow (CKO),841
Sidewalk Condition,Canopy Complaint,836
Literature Request,CITY AGENCY RECYCLING POSTER,827
Disorderly Youth,Nuisance/Truant,824
Beach/Pool/Sauna Complaint,Facility Maintenance,822
Unsanitary Pigeon Condition,Pigeon Odor,807
Consumer Complaint,Garage or Parking Lot,801
Highway Condition,Highway Fence,797
Consumer Complaint,Dry Cleaner,795
Broken Muni Meter,Graffiti,795
Green Taxi Complaint,Driver Complaint - Passenger,794
Consumer Complaint,Contact Sign Not Posted,791
Recycling Enforcement,ER5 Comm. Recyc. (Bldg Mgmt),790
DHS Advantage -Landlord/Broker,Lease Renewal Question,782
Sidewalk Condition,Sidewalk Grating - Missing,779
Consumer Complaint,Hotel,778
Literature Request,COMPOST GUIDE-LEAVE ON THE LAWN BROCHURE,778
Air Quality,"Air: Dust, Other (Use Comments) (AE5)",778
Bridge Condition,Rough Pavement,777
Street Sign - Missing,St Name - Over Intersection,777
Street Sign - Damaged,Construction,775
Consumer Complaint,Mandatory Tip,774
Air Quality,"Air: Smoke, Commercial (AA2)",772
Consumer Complaint,Employment Agency,767
Air Quality,"Air: Smoke, Other (Use Comments) (AA5)",767
Outdoor Dining,Unauthorized Restaurant,766
Water System,High Water Pressure (WHP),765
Sidewalk Condition,Cellar Door Defective,765
Stalled Sites,Stalled Construction Site,758
Construction Safety Enforcement,CSC - Full Demo Tracking,755
Street Sign - Missing,Do Not Enter,755
DOF Property - Payment Issue,Bill Received in Error,755
DRIE,Copy of Approval Order,754
OEM Literature Request,Ready NY My Emergency Plan - English,753
Water System,Request To Open A Hydrant (WC4),733
Taxi Report,Driver Report - Non Passenger,727
Home Repair,Apartment,723
Traffic Signal Condition,Door Lock,717
Pet Shop,Dogs or Cats Sold,717
Street Sign - Damaged,Speed Limit,710
Construction,Initial - PA,709
Consumer Complaint,Credit Card Limitations Not Posted,706
Industrial Waste,Odor In Sewer/Catch Basin (ICB),705
Flooring/Stairs,Floor,694
Traffic Signal Condition,Warning Signal,693
School Maintenance,Plumbing Problem,688
Bridge Condition,Graffiti - Bridge,688
DOF Property - Reduction Issue,Commercial J51 Exemption,684
DRIE,Miscellaneous,682
Food Establishment,Sewage,679
Street Sign - Missing,School Crossing,679
Seasonal Collection,Christmas Tree,679
Traffic Signal Condition,Conduit,677
AHV Inspection Unit,After Hours Work - With An AHV Permit,674
Sewer Maintenance,Flooding on Street,673
Traffic Signal Condition,In Post Base,672
Sewer,RAIN GARDEN DEBRIS (SRGDBR),670
Mobile Food Vendor,Insects / Pests,668
Homeless Person Assistance,Chronic,668
General Construction/Plumbing,Material Storage - Unsafe,667
Residential Disposal Complaint,Storage Area Not Provided,667
Consumer Complaint,Car Rental,665
Highway Condition,Crash Cushion Defect,664
Tattooing,Tattoo Artist Unlicensed,660
Consumer Complaint,House/Property Damaged,659
For Hire Vehicle Report,Driver Report - Non Passenger,659
Street Sign - Missing,Speed Limit,656
Illegal Animal Kept as Pet,Farm Animal,656
OEM Literature Request,Ready NY - English - Pocket Size,652
General Construction/Plumbing,Accident - Construction/Plumbing,652
Consumer Complaint,Street Fair Vendor,651
Literature Request,GRAFFITI WAIVER,649
Sewer,Plate Missing/Moved-Exposing Hole (SB4),646
Consumer Complaint,Stoop Line Stand,639
Consumer Complaint,Dissatisfaction with Provider,637
DHS Advantage -Landlord/Broker,Lease Expiring,636
Food Establishment,Ventilation,632
Unsanitary Animal Facility,Animal Odor,630
Street Light Condition,In-Line Fuse Missing,628
Found Property,Other,625
DHS Advantage -Landlord/Broker,Lease Already Expired,625
Traffic Signal Condition,Flashing Hazard,624
DCA / DOH New License Application Request,Temporary Food Service Establishment Permit,624
Consumer Complaint,Tax Preparer,616
LinkNYC,Damaged/Defective,612
Question,Administration,612
Broken Parking Meter,Missing/Stump,607
Broken Parking Meter,Graffiti,606
Missed Collection (All Materials),1L Missed Recycling Leaves,600
Literature Request,MAYOR'S ANTI-GRAFFITI PAINT PROGRAM APPLICAT,599
Traffic Signal Condition,Veh Signal Lens,592
For Hire Vehicle Report,Driver Report - Passenger,592
Municipal Parking Facility,General Maintenance,591
DEP Street Condition,Cave-in,590
Traffic Signal Condition,CMU Communication,588
Unsanitary Animal Facility,Animal Waste,583
DOF Property - RPIE Issue,Status of Request to file Paper RPIE,582
Adopt-A-Basket,10A Adopt-A-Basket,582
Literature Request,"LAWN LITTER LAW 1,2,3 FAMILY PROPERTY OWNER",582
DOF Property - Update Account,Property Address Incorrect,581
DOF Property - Payment Issue,Other Agency Charge,579
For Hire Vehicle Complaint,Equipment Complaint,578
Illegal Posting,Sticker or Decal,577
OUTSIDE BUILDING,SKYLIGHT,576
E-Scooter,Improperly Parked or Abandoned,574
Door/Window,Door,573
Broken Parking Meter,Parking Card Stuck in Meter,568
Street Sign - Damaged,St Name - Over Intersection,568
Traffic Signal Condition,Warning Signal Lamp,564
Street Condition,General Bad Condition,563
Heat/Hot Water,Apartment Only,559
Food Establishment,Food Worker Illness,559
Sanitation Worker or Vehicle Complaint,Unsafe Driving,558
Window Guard,Tenant Refusal,557
Consumer Complaint,Car Not Available,557
Traffic/Illegal Parking,Blocked Crosswalk,557
Highway Sign - Damaged,Other/Unknown,556
DOF Parking - Payment Issue,Finance Business Center - Not Reflected,556
Broken Muni Meter,Missing/Stump,553
SCRIE,Application Appeal,553
DHS Advantage - Third Party,Other Issue,552
Sewer Maintenance,Catch Basin Clogged,550
Consumer Complaint,Debt Collection Agency,549
Indoor Air Quality,Dry Cleaning Vapors (PERC),548
DHS Advantage - Tenant,Unenroll from Advantage Program,548
Street Sign - Missing,Construction,533
Street Light Condition,Foreign Attachment On Wood Pole,530
General Construction/Plumbing,Smoking Ban - Smoking on Construction Site,530
OEM Literature Request,Ready NY Guide - Pocket Sized - English,526
Consumer Complaint,Used Car Dealer,522
Standing Water,Building Foundation,519
FATF,,517
Street Sign - Dangling,Do Not Enter,515
DOF Property - Reduction Issue,Commercial Green Roof or Solar Panel Exemption,515
Traffic Signal Condition,BBS Failure,515
PAINT - PLASTER,CABINETS,512
Dead Animal,Deer,511
DRIE,Rent Discrepancy,508
General Construction/Plumbing,Inadequate Support Shoring,506
Traffic Signal Condition,Sway Bar,504
Consumer Complaint,Prohibited Item Sale to Minor,504
Animal-Abuse,In Car,503
DRIE,Initial Application,503
Consumer Complaint,Rates Not Posted,502
GENERAL,LOCKS,499
Litter Basket Complaint,Misuse,496
Broken Parking Meter,Bent/Loose,494
Bus Stop Shelter Placement,Relocation of Bus Stop Shelter,492
Advocate-Personal Exemptions,Personal SCHE Exemption,491
Street Sign - Missing,Yield,490
Bus Stop Shelter Complaint,Damaged Bench,489
DOF Parking - Address Update,Vehicle Owner Address Update,489
Lot Condition,Construction Debris,487
Consumer Complaint,Storage Warehouse,487
Advocate-Prop Refunds/Credits,Property Refunds and Credits,485
Public Payphone Complaint,No Dial Tone,483
Consumer Complaint,Travel Agency,483
Harboring Bees/Wasps,Beekeeping - Honeybees,483
Door/Window,Window Frame,482
Ferry Inquiry,General Inquiry,480
Air Quality,"Air: Dust, Residential (AE1)",478
DCA / DOH New License Application Request,Individual Process Server License,477
Street Sign - Damaged,Yield,477
Water System,Remove Hydrant Locking Device (WC6),466
Mobile Food Vendor,Garbage,466
Standing Water,Puddle on Driveway,463
Consumer Complaint,Booting Company,463
Industrial Waste,Gasoline Spill (IAA),458
Electrical,Con Edison Referral,457
Highway Sign - Damaged,Exit/Route,455
DHS Advantage - Tenant,Possible Landlord Foreclosure,454
Residential Disposal Complaint,Containers Left Out After Collection,454
Lead,Lead Kit Request (Non-Residential) (L11),453
Hazardous Materials,Petroleum Spill (HE1),453
Traffic Signal Condition,Blank Out Matrix Sgn,452
GENERAL,CERAMIC-TILE,452
Traffic Signal Condition,Ped Lens,451
Bridge Condition,Snow on Overpass,450
Plumbing,Basin/Sink,450
Other Enforcement,E30 Transfer Station,447
Street Light Condition,Bracket Arm Loose,446
DCA / DOH New License Application Request,Secondhand Dealer General License,445
Day Care,Unlicensed Day Care,445
PLUMBING,SPRINKLER,444
Water Quality,"Oil, Grease In Water (QD1)",443
Traffic/Illegal Parking,Overnight Commercial Storage,436
Sidewalk Condition,Defacement,435
Air Quality,"Air: Odor, Sweet From Unknown Source (AZ1)",433
Sewer,RAIN GARDEN DEBRIS (GIRGD),433
Ferry Permit,Performance,433
Traffic Signal Condition,Door,432
Standing Water,Tires,432
Consumer Complaint,Returns Not Filed,430
Question,Human Capital,430
Consumer Complaint,Pedicab,427
Eviction,Mobile Senior,427
Traffic Signal Condition,Foundation,423
Elevator,Accident - Elevator,423
Safety,,423
DHS Advantage - Third Party,Payment Not Received from DHS,423
Street Condition,Depression Maintenance,422
Standing Water,Container - Under 5 Gallons,422
Consumer Complaint,Drug Store or Pharmacy,420
Plumbing,Water Supply,418
Traffic Signal Condition,Speed Board Sign,416
